EVENT_DATE,price,tax
2023-10-31,462000.0,0.0
2023-11-30,325000.0,0.0
2023-12-31,305000.0,0.0
2024-01-31,380000.0,0.0
2024-02-29,334000.0,0.0
2024-03-31,378505.0,0.0
2024-04-30,295750.0,0.0
2024-05-31,591000.0,0.0
2024-06-30,355000.0,0.0
2024-07-31,360000.0,0.0
2024-08-31,400000.0,0.0
2024-09-30,345500.0,0.0
2024-10-31,385000.0,0.0
2024-11-30,374000.0,0.0
2024-12-31,340000.0,-0.23130841121495327
2025-01-31,257000.0,0.0
2025-02-28,252500.0,0.0
2025-03-31,494950.0,0.5268691588785047
2025-05-31,380000.0,0.6187694704049844
2025-07-31,452000.0,-0.139797507788162
2025-08-31,200000.0,0.0
2025-09-30,490000.0,-0.04205607476635514
2025-10-31,200000.0,-0.985981308411215
2025-11-30,230000.0,-1.9595015576323989
2025-12-31,163000.0,-0.9314641744548287
